Pokemon,Aerodactyl,Alakazam,Arbok,Arcanine,Articuno,Beedrill,Blastoise,Butterfree,Chansey,Charizard,Clefable,Cloyster,Dewgong,Ditto,Dodrio,Dragonite,Dugtrio,Electabuzz,Electrode,Exeggutor,Farfetchd,Fearow,Flareon,Gengar,Golbat,Golduck,Golem,Gyarados,Hitmonchan,Hitmonlee,Hypno,Jolteon,Jynx,Kabutops,Kangaskhan,Kingler,Lapras,Lickitung,Machamp,Magmar,Magneton,Marowak,Mew,Mewtwo,Moltres,Mrmime,Muk,Nidoking,Nidoqueen,Ninetales,Omastar,Onix,Parasect,Persian,Pidgeot,Pinsir,Poliwrath,Porygon,Primeape,Raichu,Rapidash,Raticate,Rhydon,Sandslash,Scyther,Seadra,Seaking,Slowbro,Snorlax,Starmie,Tangela,Tauros,Tentacruel,Vaporeon,Venomoth,Venusaur,Victreebel,Vileplume,Weezing,Wigglytuff,Zapdos
Clefable,-10,-48,10,-39,35,62,-22,58,22,12,0,13,-32,81,-52,58,-34,-41,-73,-3,-42,11,-33,-57,41,2,2,36,10,-14,-68,-67,2,72,-54,10,48,0,-14,20,-62,66,-36,-92,12,-18,20,4,-60,-38,-16,84,94,14,22,-66,10,38,0,-52,18,-70,60,-62,-36,-32,46,82,-54,-24,33,-58,-30,-12,43,46,21,39,36,8,-71
Cloyster,25,-65,34,52,38,78,-56,46,-88,77,-13,0,-90,88,50,78,38,-84,-82,56,98,56,61,-85,62,-21,98,-80,34,16,-37,-72,-96,-24,23,22,-100,71,30,37,-60,98,3,-94,55,-59,-4,18,43,5,-20,98,96,-21,45,11,6,57,16,-87,36,39,100,88,64,-51,53,33,25,-92,35,8,-79,-71,-11,16,-47,43,-37,6,-80
Dewgong,65,-70,42,70,32,56,-35,76,-66,50,32,90,0,100,-40,56,26,-76,-82,-26,66,41,84,-76,31,17,100,-59,54,20,50,-80,4,-42,2,-8,-80,62,52,52,-62,94,0,-88,58,8,68,50,48,48,90,92,92,0,23,-48,62,52,10,-82,64,12,100,82,-50,-6,31,67,6,-63,-17,-18,-6,40,50,35,-65,-26,48,72,-92
Ditto,-90,-100,-94,-86,-90,44,-96,-92,-100,-88,-81,-88,-100,0,-94,-94,-94,-94,-100,-99,-76,-90,-72,-94,-79,-90,-100,-90,-74,-74,-100,-96,-96,-100,-90,-74,-96,-78,-80,-88,-100,-86,-98,-98,-86,-86,-72,-98,-94,-98,-90,-86,-82,22,-94,-100,-94,-44,-80,-88,-74,-80,-100,-90,-100,-100,-77,-96,-98,-98,-90,-94,-100,-98,-88,-88,-96,-76,-82,-72,-92
Dodrio,-52,-26,74,50,62,80,0,70,-24,74,52,-50,40,94,0,30,-20,-20,-60,0,72,67,68,-72,63,22,-32,-18,60,84,30,-74,74,-62,-16,60,-28,84,62,54,-40,63,38,-58,64,74,2,-14,-16,62,-98,-30,92,0,36,-34,40,-24,54,-34,60,54,-76,68,60,70,60,18,-14,-12,90,-34,-4,4,62,72,100,84,-12,58,-58
Dragonite,-64,-74,62,-38,-5,62,-40,74,-13,-34,-58,-78,-56,94,-30,0,-76,-18,-20,-46,26,3,70,-57,12,-60,-4,-24,56,6,-32,-18,-22,-76,-62,4,38,10,4,30,-30,-41,-32,-76,6,2,1,-76,-40,-2,-100,94,88,2,2,-62,-34,-58,14,-10,34,48,-37,50,-32,-76,70,88,-54,-40,66,-58,-88,-73,42,48,100,30,46,4,-80
Dugtrio,-2,-4,74,56,68,100,-22,80,-6,74,34,-38,-26,94,20,76,0,86,100,-82,62,60,86,100,62,-36,96,10,30,66,-10,100,60,-56,-18,8,26,16,4,86,91,-30,-8,-66,78,56,98,66,66,54,-50,76,90,52,54,-64,-26,-24,6,94,62,38,60,2,-62,-44,74,-12,-34,50,-90,-38,-54,-54,54,-50,-50,4,84,36,22
Electabuzz,33,-70,-18,18,61,82,74,100,-12,62,41,84,76,94,20,18,-86,0,22,-98,64,84,12,48,78,84,-92,94,56,66,-26,-22,12,42,-6,84,86,58,32,55,9,-32,-20,-84,78,44,66,-40,-34,22,88,-28,32,-96,70,-34,76,71,36,-11,12,26,-94,-70,-8,70,84,88,-4,38,8,-46,56,72,68,44,20,24,84,44,36
Electrode,73,-6,-4,16,82,72,68,100,1,76,73,82,82,100,60,20,-100,-22,0,-94,76,80,24,74,84,76,-100,88,88,76,18,-26,26,76,28,72,96,78,36,34,6,-100,-10,-76,80,64,63,-100,-100,50,84,-100,56,-2,80,-16,82,90,46,-12,54,42,-100,-100,72,78,94,86,0,54,-6,24,56,68,76,42,-42,-34,84,54,44
Exeggutor,37,-8,80,46,51,56,44,98,-34,38,3,-56,26,99,0,46,82,98,94,0,46,36,62,100,99,28,90,32,96,90,20,76,-46,22,16,64,56,62,80,-66,92,86,-68,-89,38,56,84,64,61,-24,67,96,86,-42,27,68,51,71,44,96,36,16,68,76,50,20,51,96,-34,-62,86,-18,44,26,100,60,-48,100,80,72,-38
Farfetchd,-75,-60,-2,-8,-18,78,-34,44,-56,-42,42,-98,-66,76,-72,-26,-62,-64,-76,-46,0,-75,-12,-100,18,-42,-90,-76,36,6,-66,-100,-2,-100,-78,-40,-84,52,-18,42,-100,56,-34,-90,-34,-30,-46,-90,-82,-2,-100,-94,58,-10,-70,-100,-48,-57,14,-84,20,-68,-98,-36,-98,-40,12,-28,-38,-56,48,-66,-60,-72,28,34,82,70,-68,-44,-100
Fearow,-56,-66,78,26,28,64,-29,84,-48,34,-11,-56,-41,90,-67,-3,-60,-84,-80,-36,75,0,74,-84,58,18,-88,-44,66,70,-24,-91,62,-90,-17,-6,-48,62,6,44,-58,18,-29,-72,16,18,-26,-24,-24,-36,-93,-60,90,-32,-54,-51,-32,-39,58,-83,-22,60,-91,14,-44,-37,60,-21,-36,-59,58,-60,-50,-38,50,44,100,71,-36,-29,-75
Flareon,-82,-30,-78,-40,-53,50,-64,62,56,-72,33,-61,-84,72,-68,-70,-86,-12,-24,-62,12,-74,0,-26,32,-44,-82,-40,-26,22,-8,-14,22,-100,-86,-70,6,2,-4,42,-40,-76,-82,-86,0,28,25,-90,-84,-20,-100,-78,84,-98,-62,-90,-86,67,-10,20,-32,-62,-74,-82,-82,-74,66,-66,-62,-6,32,-84,-76,-64,58,56,-64,46,28,42,-84
Gengar,85,-98,-28,27,62,100,88,84,-26,64,57,85,76,94,72,57,-100,-48,-74,-100,100,84,26,0,100,86,-100,82,100,100,-54,-92,-54,98,-18,100,77,14,-34,20,-72,-100,-38,-100,59,-40,94,-100,-100,28,80,-100,100,82,100,100,86,70,64,-74,24,93,-100,-100,100,66,94,98,80,-42,100,-42,52,74,-16,74,70,98,58,96,-26
Golbat,-98,-86,21,-65,-20,72,-28,-41,-68,-40,-41,-62,-31,79,-63,-12,-62,-78,-84,-99,-18,-58,-32,-100,0,-3,20,-78,8,-18,-84,-83,-66,-19,-87,-29,-96,-11,-48,-70,-86,8,-83,-100,-48,-54,-75,-53,-80,-59,-2,-12,5,-53,-63,-38,-55,-28,-40,-72,-59,-56,3,30,-40,-44,26,-74,-99,-100,9,-90,-79,-77,-69,29,66,-16,-89,-33,-100
Golduck,45,-74,38,34,11,66,-26,52,-90,54,-2,21,-17,90,-22,60,36,-84,-76,-28,42,-18,44,-86,3,0,96,-54,68,8,-48,-88,-34,38,4,-36,-94,48,10,42,-54,94,-20,-88,54,-50,-14,30,48,39,48,98,71,-38,3,38,41,48,20,-84,46,0,92,64,-22,-12,-5,24,-38,-100,-27,-50,-80,-71,6,-28,-56,-37,12,18,-90
Golem,94,-50,50,48,-50,100,-100,42,-90,-16,-2,-98,-100,100,32,4,-96,92,100,-90,90,88,82,100,-20,-96,0,-92,60,-64,-74,100,46,-100,16,-96,-82,74,20,96,100,2,-82,-90,74,30,64,-84,-64,44,-100,60,100,-88,83,47,-94,62,52,-100,80,46,76,-72,96,-98,53,-76,16,-70,-90,-10,-100,-100,42,-98,-98,-92,98,98,92
Gyarados,34,-50,62,-40,35,80,81,96,-52,52,-36,80,59,90,18,24,-10,-94,-88,-32,76,44,40,-82,78,54,92,0,66,26,20,-98,-32,80,-32,78,-44,54,48,42,-80,36,-50,-78,66,-8,-74,-76,-78,2,68,94,70,-84,42,-20,95,42,2,-92,18,12,94,48,66,68,84,100,-44,14,-6,-54,30,63,72,40,34,24,-52,-48,-100
Hitmonchan,-80,-98,2,-50,-17,74,-88,-40,-42,-14,-10,-34,-54,74,-60,-56,-30,-56,-88,-96,-36,-66,26,-100,-8,-68,-60,-66,0,6,-88,-76,-100,-68,-68,-22,-69,20,-28,-82,-44,-23,-54,-100,14,-100,-20,-66,-56,-79,-39,49,74,-42,-67,-92,-48,-21,-22,-70,-32,-64,-62,-48,-32,-68,44,-78,-60,-100,-42,-70,-76,-36,-60,-14,-26,-8,-30,38,-86
Hitmonlee,-53,-100,6,-58,1,70,-48,-18,2,-20,14,-16,-20,74,-84,-6,-66,-66,-76,-90,-6,-70,-22,-100,18,-8,64,-26,-6,0,-82,-72,-98,-62,-62,-46,6,20,-22,-66,-46,-16,-66,-100,-14,-100,-18,-18,-50,-28,40,10,26,-28,-52,-96,-30,-13,-32,-52,-28,-58,-18,-50,-98,-32,27,-88,-54,-100,-12,-60,-62,-44,-62,-2,-28,2,-30,-8,-90
Hypno,13,-54,52,6,13,100,26,100,-16,40,68,37,-50,100,-30,32,10,26,-18,-20,66,24,8,54,84,48,74,-20,88,82,0,-38,-39,-46,-18,32,80,72,80,7,26,86,-82,-83,46,-12,83,48,58,-20,50,42,84,4,-10,8,76,84,76,-2,28,30,62,60,-18,32,59,-4,-40,-31,80,-42,24,-20,100,76,100,96,78,54,-36
Jolteon,70,2,-10,22,72,72,82,100,-24,76,67,72,80,96,74,18,-100,22,26,-76,100,91,14,92,83,88,-100,98,76,72,38,0,58,50,40,100,90,56,44,56,46,-100,-6,-48,74,46,74,-100,-100,58,80,-98,82,-36,86,-14,70,90,46,36,38,64,-100,-100,88,66,75,86,4,64,24,22,60,64,98,36,46,-2,86,38,50
Jynx,-21,-34,78,-36,-23,78,54,100,-22,-62,-2,96,-4,96,-74,22,-60,-12,-26,46,2,-62,-22,54,66,34,-46,32,100,98,39,-58,0,-60,-24,42,28,38,58,50,-18,-16,-63,-49,34,48,84,74,66,-32,-12,80,90,-100,-68,-58,82,94,40,4,-64,-18,-34,-42,-100,44,62,-22,-42,-23,40,-74,0,-40,100,72,100,86,76,40,-68
Kabutops,100,64,58,100,29,100,8,100,-82,20,-72,24,42,100,62,76,56,-42,-76,-22,100,90,100,-98,19,-38,100,-80,68,62,46,-50,60,0,36,-70,-64,80,78,70,4,82,-66,-84,98,68,62,12,76,93,-30,100,100,26,100,40,16,84,68,14,100,100,100,74,100,-78,100,-44,96,-76,-72,18,-80,36,46,-82,-80,-64,-50,72,-86
Kangaskhan,17,-66,86,42,66,68,-22,72,50,32,54,-23,-2,90,16,62,18,6,-28,-16,78,17,86,18,87,-4,-16,32,68,62,18,-40,24,-36,0,62,14,70,58,34,-12,82,6,-72,78,30,72,36,50,15,-50,46,92,36,12,14,36,55,62,-18,44,26,-16,16,26,14,58,-50,12,-16,52,-44,-40,18,50,70,100,64,54,64,-44
Kingler,-62,-62,40,6,26,58,-8,68,-34,18,-10,-22,8,74,-60,-4,-8,-84,-72,-64,40,6,70,-100,29,36,96,-78,22,46,-32,-100,-42,70,-62,0,-72,16,18,24,-54,-2,-56,-74,6,-38,-70,-72,-60,-6,42,98,82,-78,-34,-28,10,43,56,-82,36,-2,98,-40,-20,12,68,20,-52,-54,-60,-70,-12,8,-2,-96,-58,-26,-48,-44,-100
Lapras,58,-68,48,-36,56,42,74,88,-54,54,-48,100,80,96,28,-38,-26,-86,-96,-56,84,48,-6,-77,96,94,82,44,69,-6,-80,-90,-28,64,-14,72,0,52,0,-9,-84,-42,-58,-70,54,-40,-40,-64,-66,-54,98,68,58,-40,50,0,100,44,2,-76,36,42,80,-68,66,90,66,100,-68,30,-56,-44,84,90,16,-46,-80,-36,-46,6,-82
Lickitung,-78,-30,28,2,25,80,-80,38,-72,10,0,-71,-62,78,-84,-10,-16,-58,-78,-62,-52,-62,-2,-14,11,-48,-74,-54,-20,-20,-72,-56,-38,-80,-70,-16,-52,0,-2,-6,-74,-46,-44,-98,-4,-44,-30,-26,-80,-43,-82,-14,80,8,-78,-82,-64,5,34,-64,34,-74,-96,-96,-76,-66,48,-78,-86,-78,-30,-78,-72,-54,22,42,-48,8,-30,-22,-72
Machamp,-28,-78,36,-2,12,78,-58,-6,42,50,14,-30,-52,80,-62,-4,-4,-32,-36,-80,18,-6,4,34,48,-10,-20,-48,28,22,-80,-44,-58,-78,-58,-18,0,2,0,-32,-38,-8,-58,-100,-16,-60,64,2,-32,2,0,48,92,28,-8,-44,-42,54,40,-32,30,-2,-38,-66,-46,-48,51,-36,-36,-74,-6,-60,-36,-50,-46,26,-12,46,56,50,-66
Magmar,-66,-60,54,-68,49,76,-88,98,-49,-100,-20,-37,-52,88,-54,-30,-86,-55,-34,66,-42,-44,-42,-20,70,-42,-96,-42,82,66,-7,-56,-50,-70,-34,-24,9,6,32,0,-30,-42,-70,-92,-30,5,68,-44,-30,-50,-82,-48,100,-52,-47,-74,30,54,16,-62,-64,-38,-96,-62,-84,-58,41,-84,-44,-96,90,-74,-64,-94,68,70,86,70,76,50,-46
Magneton,21,-42,-72,6,62,72,44,96,5,30,62,60,62,100,40,30,-91,-9,-6,-92,100,58,40,72,86,54,-100,80,44,46,-26,-46,18,-4,12,54,84,74,38,30,0,-99,-72,-76,64,40,74,-100,-100,9,84,-100,86,-2,60,56,66,91,66,-6,32,30,-100,-99,64,42,94,94,-26,16,14,-60,40,82,74,-2,-42,-14,82,64,32
Marowak,10,-82,68,66,4,78,-94,2,-94,17,-66,-98,-94,86,-63,41,30,32,100,-86,-56,-18,76,100,-8,-94,-2,-36,23,16,-86,100,16,-82,-82,2,42,46,8,42,99,0,-16,-94,-4,-70,78,24,60,10,-98,58,27,-72,-39,-73,-100,-56,30,-82,66,-6,68,-62,-41,-94,70,-64,-32,-64,-84,-70,-98,-100,22,-98,-100,-66,76,32,-53
Mew,-12,54,82,80,61,80,0,100,62,64,36,-3,0,98,-38,32,8,20,10,68,34,29,82,38,83,20,82,50,54,66,82,6,63,66,-6,56,58,44,58,70,72,16,0,-37,62,90,89,78,72,56,80,96,86,-30,-26,2,38,84,52,16,58,62,50,-2,44,52,78,16,-24,17,34,-52,34,-16,96,62,100,58,84,62,-22
Mewtwo,72,80,100,66,82,100,100,100,80,74,92,94,88,98,58,76,66,84,76,89,90,72,86,100,100,88,90,78,100,100,83,48,49,84,72,74,70,98,100,92,76,94,37,0,66,84,100,72,82,77,92,100,88,74,84,66,100,91,100,90,74,62,92,74,74,100,74,94,62,77,96,52,98,78,100,82,100,98,90,82,54
Moltres,-34,-12,66,8,32,62,-58,80,-34,-38,-12,-55,-58,86,-64,-6,-78,-78,-80,-38,34,-16,0,-59,48,-54,-74,-66,-14,14,-46,-74,-34,-98,-78,-6,-54,4,16,30,-64,4,-62,-66,0,6,-44,-38,-36,-26,-100,-42,84,-28,-18,-54,-60,-35,-70,-76,-6,-30,-72,8,-56,-56,53,-30,-54,-51,46,-64,-54,-58,18,46,96,24,-54,2,-74
Mrmime,-48,-48,68,-48,22,94,8,100,-40,-20,18,59,-8,86,-74,-2,-56,-44,-64,-56,30,-18,-28,40,54,50,-30,8,100,100,12,-46,-48,-68,-30,38,40,44,60,-5,-40,70,-90,-84,-6,0,78,62,70,-56,-20,76,96,-100,-40,-50,80,79,38,-66,-24,-8,-34,-30,-84,62,46,-10,-32,-28,32,-60,30,-4,92,80,100,86,98,26,-54
Muk,39,-88,-70,9,50,72,26,-54,29,-60,-20,4,-68,72,-2,-1,-98,-66,-63,-84,46,26,-25,-94,75,14,-64,74,20,18,-83,-74,-84,-62,-72,70,40,30,-64,-68,-74,-78,-89,-100,44,-78,0,-100,-100,-40,-64,48,100,2,11,-60,20,48,15,-64,-4,-40,-50,-100,0,-50,54,84,-66,-84,76,-76,-52,-58,-80,8,74,-12,-24,20,-77
Nidoking,24,-84,-22,48,60,70,-26,60,-2,-32,-4,-18,-50,98,14,76,-66,40,100,-64,90,24,90,100,53,-30,84,76,66,18,-48,100,-74,-12,-36,72,64,26,-2,44,100,-24,-78,-72,38,-62,100,0,80,29,-40,84,56,-42,34,-22,20,-20,42,52,72,-28,50,-38,42,-54,87,-20,-44,-66,24,-26,-60,-30,-54,30,10,4,88,-10,-40
Nidoqueen,44,-70,56,68,39,100,-58,52,13,-50,60,-43,-48,94,16,40,-66,34,100,-61,82,24,84,100,80,-48,64,78,56,50,-58,100,-66,-76,-50,60,66,80,32,30,100,-60,-72,-82,36,-70,100,-80,0,48,84,74,57,0,32,-50,-40,68,36,28,64,6,-12,-52,54,-76,80,-44,2,-76,19,-42,-70,-42,-68,58,100,76,82,50,-38
Ninetales,-35,-12,-26,-42,71,64,-52,74,32,-66,38,-5,-48,98,-62,2,-54,-22,-50,24,2,36,20,-28,59,-39,-44,-2,79,28,20,-58,32,-93,-15,6,54,43,-2,50,-9,-10,-56,-77,26,56,40,-29,-48,0,-100,14,100,22,-29,90,-20,72,36,-20,2,-38,-64,-44,60,-76,60,-68,-27,-54,88,-42,-82,-86,98,80,92,78,67,39,-38
Omastar,100,-72,-28,100,37,100,-52,56,-50,46,16,20,-90,90,98,100,50,-88,-84,-67,100,93,100,-80,2,-48,100,-68,39,-40,-50,-80,12,30,50,-42,-98,82,0,82,-84,98,-80,-92,100,20,64,40,-84,100,0,66,100,14,94,42,-31,72,40,-82,100,100,100,-22,100,-68,98,-32,92,-70,-85,4,-76,-70,-72,-100,-99,-55,-74,54,-86
Onix,18,-74,28,30,-74,100,-100,78,-84,24,-84,-98,-92,86,30,-94,-76,28,100,-96,94,60,78,100,12,-98,-60,-94,-49,-10,-42,98,-80,-100,-46,-98,-68,14,-48,48,100,-58,-96,-100,42,-76,-48,-84,-74,-14,-66,0,100,-100,80,26,-98,-60,50,-100,50,-50,-48,-76,100,-100,-68,-100,-52,-80,-100,-64,-100,-100,-58,-98,-78,-98,52,84,66
Parasect,-94,-94,4,-84,-74,74,-88,32,-84,-78,-94,-96,-92,82,-92,-88,-90,-32,-56,-86,-58,-90,-84,-100,-5,-71,-100,-70,-74,-26,-84,-82,-90,-100,-92,-82,-58,-80,-92,-100,-86,-27,-86,-88,-84,-96,-100,-56,-57,-100,-100,-100,0,-90,-96,-90,-92,-100,-76,-20,-78,-46,-100,-84,-92,-86,-31,-72,-76,-88,-40,-98,-92,-82,-90,-62,-90,-10,-66,-70,-100
Persian,-10,54,84,-12,45,70,64,56,94,22,-14,21,0,-22,0,-2,-52,96,2,42,10,32,98,-82,53,38,88,84,42,28,-4,36,100,-26,-36,78,40,-8,-28,52,2,72,30,-74,28,100,-2,42,0,-22,-14,100,90,0,-20,-62,16,93,98,100,44,-24,78,-8,-28,8,59,64,14,12,70,-46,6,-22,96,82,86,66,-18,-4,-40
Pidgeot,-54,-57,88,46,56,76,2,45,-39,32,-22,-45,-23,94,-36,-2,-54,-70,-80,-27,70,54,62,-100,63,-3,-83,-42,67,52,10,-86,68,-100,-12,34,-50,78,8,47,-60,39,26,-84,18,40,-11,-34,-32,29,-94,-80,96,20,0,-2,9,-12,43,-86,37,46,-90,55,-18,33,74,-16,-22,-50,76,-40,-25,-27,70,64,100,76,-39,3,-46
Pinsir,-65,54,80,36,62,100,42,100,86,36,66,-11,48,100,34,62,64,34,16,-68,100,51,90,-100,38,-38,-47,20,92,96,-8,14,58,-40,-14,28,0,82,44,74,-56,73,-2,-66,54,50,60,22,50,-90,-42,-26,90,62,2,0,36,68,56,64,56,74,-25,60,-48,-10,84,-60,-14,-86,78,-20,-76,-26,40,74,100,86,26,60,-78
Poliwrath,45,-96,44,46,22,44,-50,-22,-96,50,-10,-6,-62,94,-40,34,26,-76,-82,-51,48,32,86,-86,55,-41,94,-95,48,30,-76,-70,-82,-16,-36,-10,-100,64,42,-30,-66,100,-38,-100,60,-80,-20,-20,40,20,31,98,92,-16,-9,-36,0,29,12,-88,42,62,92,66,-6,-56,-14,-4,-38,-100,-51,-42,-92,-83,-50,-58,-71,-43,-10,24,-90
Porygon,16,-88,-61,-62,-57,65,-71,38,-77,25,-38,-57,-52,44,24,58,24,-71,-90,-71,57,39,-67,-70,28,-48,-62,-42,21,13,-84,-90,-94,-84,-55,-43,-44,-5,-54,-54,-91,56,-84,-91,35,-79,-48,20,-68,-72,-72,60,100,-93,12,-68,-29,0,-61,-87,-57,-71,-60,8,70,-75,29,-49,-78,-55,52,-70,-82,-80,-41,58,-35,56,-51,-36,-73
Primeape,-28,-98,58,-30,49,76,-50,-6,36,24,0,-16,-10,80,-54,-14,-6,-36,-46,-44,-14,-58,10,-64,40,-20,-52,-2,22,32,-76,-46,-40,-68,-62,-56,-2,-34,-40,-16,-66,-30,-52,-100,70,-38,-15,-42,-36,-36,-40,-50,76,-98,-43,-56,-12,61,0,-34,-20,-48,-62,-40,-76,-40,56,-26,-48,-86,-30,-74,-72,-68,-28,56,30,-18,-26,14,-86
Raichu,33,-48,0,0,79,98,82,100,41,88,52,87,82,88,34,10,-94,11,12,-96,84,83,-20,74,72,84,100,92,70,52,2,-36,-4,-14,18,82,76,64,32,62,6,82,-16,-90,76,66,64,-52,-28,20,82,100,20,-100,86,-64,88,87,34,0,32,40,78,-2,16,64,76,98,-22,36,-48,-16,46,66,68,18,-48,-46,86,50,16
Rapidash,-33,-22,-26,-26,-18,70,-52,56,44,-54,-18,-36,-64,74,-60,-34,-62,-12,-54,-36,-20,22,32,-24,59,-46,-80,-18,32,28,-28,-38,64,-100,-44,-36,-36,-34,-30,64,-32,-66,-58,-74,6,24,4,-72,-64,-2,-100,-50,78,-44,-37,-56,-42,57,20,-32,0,-24,-89,-66,-42,-64,73,-66,-60,-80,26,-72,-28,-58,46,30,98,48,2,4,-38
Raticate,-66,-34,48,44,36,98,-14,70,28,22,70,-39,-12,80,-54,-48,-38,-26,-42,-16,68,-60,62,-93,56,0,-46,-12,64,58,-30,-64,18,-100,-26,2,-42,74,2,38,-30,6,-62,-62,30,8,40,28,-6,38,-100,50,46,24,-46,-74,-62,71,48,-40,24,0,-20,-60,-78,-30,70,-34,-56,-36,24,-58,-70,-42,52,16,-8,46,-6,66,-74
